id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
109,Ficus maclellandii Alii,Moraceae,Willow Ficus,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Primary,30,20.0,10,50.0
110,Guzmania,Bromeliaceae,Guzmania; Marjan,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
111,Ficus benjamina,Moraceae,Weeping fig; Midnight,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
112,Guzmania,Bromeliaceae,Guzmania; Rana,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
113,Ficus elastica,Moraceae,Rubber plant; Burgandy,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
114,Euphorbia drupifera,Euphorbiaceae,,Cactus And Succulent,Guinea,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6
115,Hedera helix,Araliaceae,English ivy; Gold Baby,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover,30,20.0,5,41.0
116,Maranta leuconeura erythroneura,Marantaceae,Herringbone; Pink praying plant,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Table top,28,82.4,12,53.6
117,Hedera helix,Araliaceae,English ivy; Hermania,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover,30,20.0,5,41.0
118,Monstera deliciosa,Araceae,Splitleaf Philodendron; Mexican Breadfruit,Philodendron,Central America,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,N/A,Potted plant; Secondary,32,89.6,12,53.6
119,Mandevilla X,Apocynaceae,,Flower,Hybrid,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Aphid,N/A,Flower; Potted plant,30,20.0,10,50.0
120,Peperomia obtusifolia,Piperaceae,Baby rubber plant; Pepper face,Other,Venezuela,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Ground cover; Tertiary,32,89.6,10,50.0
121,Ophiopogon japonicus,Liliaceae,Snakes beard,Grass,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,N/A,Ground cover; Tertiary,28,82.4,5,41.0
122,Hedychium coronarium,Zingiberaceae,Butterfly Ginger; White Ginger,Flower,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,N/A,N/A,Flower; Secondary,30,20.0,10,50.0
123,Hedera helix variegata,Araliaceae,English ivy; Variegated English ivy,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover,30,20.0,5,41.0
124,Pellaea falcata,Sinopteridaceae,,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Table top; Ground cover; Tertiary,25,77.0,12,53.6
125,Hedera helix,Araliaceae,English ivy; Garland,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover,30,20.0,5,41.0
126,Hoya carnosa Exotica,Asclepiadaceae,Wax plant,Hanging,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Thrips,N/A,Hanging; Table top,28,82.4,12,53.6
127,Nerium oleander,Apocynaceae,Oleander; Rose bay,Flower,Mediterranean,Subtropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Scale; Aphid; Mealy bug,N/A,Potted plant; Secondary,30,20.0,5,41.0
128,Pachypodium geayi,Apocynaceae,Madagascar Palm,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary,35,95.0,8,46.4
129,Licuala spinosa,Arecaceae,Spiny licuala palm,Palm,Malaysia,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,15,59.0
130,Philodendron,Araceae,Red Philodendron; Imperial Red,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4
131,Neoregelia Flandria,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms,30,20.0,12,53.6
132,Liriope muscari Variegata,Liliaceae,Variegated lily turf,Foliage plant,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,N/A,Ground cover; Table top,30,20.0,8,46.4
133,Philodendron micans,Araceae,Velvet leaf vine,Philodendron,Dominica,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Hanging; Secondary,28,82.4,18,64.4
134,Maranta leuconeura kerchoveana,Marantaceae,Green prayer plant; Herringbone,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Table top,28,82.4,12,53.6
135,Neoregelia Victoria Pink,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms,30,20.0,12,53.6
136,Nolina recurvata,Agavaceae,Elephant foot; Pony tail,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Primary; Potted plant,32,89.6,12,53.6
137,Philodendron,Araceae,Lime philodendron; Moonlight,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4
138,Phalaenopsis X,Orchidaceae,,Flower,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Thrips; Aphid,N/A,Table top; Secondary,28,82.4,12,53.6
139,Hyophorbe verschaffeltii,Arecaceae,Spindle palm,Palm,Rodrigue Island,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Potted plant; Primary,35,95.0,10,50.0
140,Hedera helix,Araliaceae,English ivy,Topiairy,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover,30,20.0,5,41.0
141,Nolina guatemalensis,Agavaceae,Elephant foot; Pony tail,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Primary; Potted plant,32,89.6,12,53.6
142,Medinilla magnifica,Melastomataceae,Rose grape,Flower,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Flower,30,20.0,15,59.0
143,Hibiscus rosa sinensis,Malvaceae,Chinese hibiscus,Flower,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Aphid; White fly,N/A,Flower; Secondary,28,82.4,10,50.0
144,Nephrolepis exaltata var,Nephrolepidaceae,Boston fern; Sword fern,Fern,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Hanging; Tertiary,28,82.4,10,50.0
145,Howea forsteriana,Arecaceae,Kentia palm; Paradise palm,Palm,South Pacific,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,N/A,N/A,Potted plant; Primary,28,82.4,12,53.6
146,Philodendron,Araceae,Emerald Prince,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4
147,Homalomena,Araceae,Emerald Gem,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary,28,82.4,10,50.0
148,Peperomia clusiifolia,Piperaceae,Tricolor Peperomia,Other,Cultivar,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Ground cover; Tertiary,32,89.6,10,50.0
149,Pandorea jasminoides,Bignoniaceae,Bower plant; Bower of beauty,Flower,Australia,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary,28,82.4,8,46.4
150,Neoregelia carolinae var.,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms,30,20.0,12,53.6
151,Radermachera sinica,Bignoniaceae,China doll,Other,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary,28,82.4,8,46.4
152,Pteris cretica Parkeri,Pteridaceae,Cretan brake,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary,28,82.4,12,53.6
153,Polystichum tsus simense,Dryopteridaceae,Korean rock fern; Tsu sima holly fern,Fern,Korea,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary,28,82.4,-5,23.0
154,Polystichum polyblepharum,Dryopteridaceae,Japanese tassel fern,Fern,Japan,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary,28,82.4,-5,23.0
155,Ravenea rivularis,Arecaceae,Majesty palm,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary,30,20.0,8,46.4
156,Polyscias scutellaria,Araliaceae,Fabian Aralia; Red Aralia,Aralia,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
157,Pteris cretica Albo lineata,Pteridaceae,Silver Ribbon Fern,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary,28,82.4,12,53.6
158,Platycerium bifurcatum,Polypodiaceae,Staghorn fern,Fern,Australia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Potted plant; Tertiary,30,20.0,5,41.0
159,Philodendron Xanadu,Araceae,,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4
160,Polyscias pinnatta,Araliaceae,Balfour aralia; Aralia Balfouriana; Lemon Lime,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
161,Philodendron Tatei Congo,Araceae,,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4
162,Sansevieria trifasciata Laurentii,Liliaceae,Snake plant,Sansevieria,South Africa,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Tertiary,35,95.0,10,50.0
163,Philodendron pinnatifidum,Araceae,Fernleaf Philodendron,Philodendron,Venezuela,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Tertiary,28,82.4,18,64.4
164,Podocarpus gracilior,Podocarpaceae,African fern pine; Buddhist pine,Foliage plant,Central Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary,30,20.0,10,50.0
165,Sansevieria trifasciata Hahnii,Liliaceae,Birdnest sansevieria; Snake plant,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Table top; Tertiary,35,95.0,10,50.0
166,Sansevieria trifasciata,Liliaceae,Snake plant,Sansevieria,South Africa,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Primary,35,95.0,10,50.0
167,Polyscias crispata,Araliaceae,Chicken gizard aralia,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
168,Phoenix roebellinii,Palmae,Pignee Date palm,Palm,Vietnam,Tropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Spider mite; Scale,N/A,Potted plant; Primary,28,82.4,8,46.4
169,Polyscias pinnata Marginata,Araliaceae,Variegated Balfour aralia; Aralia Balfouriana,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
170,Polyscias fruticosa Elegans,Araliaceae,Ming Aralia; Parsley panax,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
171,Philodendron selloum,Araceae,Lacy tree philodendron,Philodendron,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4
172,Pteris ensiformis Evergemiensis,Pteridaceae,Silver Lace Fern,Fern,Asia,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary,28,82.4,12,53.6
173,Rhapis excelsa,Arecaceae,Lady palm,Palm,China,Subtropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,N/A,N/A,Potted plant; Secondary,30,20.0,8,46.4
174,Polyscias fruticosa,Araliaceae,Ming Aralia; Parsley panax,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
175,Philodendron scandens oxycardium,Araceae,Parlor ivy; Sweetheart plant; Heartleaf philodendron; Cordatum vine,Philodendron,Central America,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4
176,Veitchia merrillii,Arecaceae,Adonidia; Christmas palm; Manila palm,Palm,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary,30,20.0,15,59.0
177,Spathiphyllum Lynise,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary,28,82.4,15,59.0
178,Spathiphyllum Ceres,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0
179,Vriesea splendens,Bromeliaceae,,Bromeliad,Venezuela,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,28,82.4,15,59.0
180,Trichilia dregei,Miliaceae,Cape mahogany; Christmas bells,Other,Zimbabwe,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Secondary,28,82.4,12,53.6
181,Vriesea Ginger,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,28,82.4,15,59.0
182,Vriesea Charlotte,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,28,82.4,15,59.0
183,Syngonium podophyllum,Araceae,African evergreen; Arrowhead vine; Goosefoot plant; White Lightning,Hanging,Cultivar,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary,28,82.4,12,53.6
184,Syagrus schizophylla,Arecaceae,Parrot palm,Palm,Brazil,Tropical humid,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Potted plant; Primary,30,20.0,12,53.6
185,Tillandsia cyanea,Bromeliaceae,Pink quill,Bromeliad,Ecuador,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,30,20.0,15,59.0
186,Vriesea Christiane,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,28,82.4,15,59.0
187,Tillandsia Creation,Bromeliaceae,,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary,30,20.0,15,59.0
188,Xanthosoma lindenii,Araceae, Indian kale,Foliage plant,Colombia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Primary,28,82.4,12,53.6
189,Schefflera elegantissima,Araliaceae,False aralia,Aralia,New Calidonia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,28,82.4,12,53.6
190,Spathiphyllum Sensation,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Primary,28,82.4,15,59.0
191,Spathiphyllum Starlight,Liliaceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0
192,Sedum morganianum,Crasssulaceae,Burro tail,Hanging,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Hanging; Tertiary,35,95.0,8,46.4
193,Spathiphyllum Domino,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0
194,Syngonium podophyllum,Araceae,African evergreen; Arrowhead vine; Goosefoot plant; Pink Allusion,Hanging,Cultivar,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary,28,82.4,12,53.6
195,Scindapsus pictus argyraeus,Araceae,Picta Philodendron; Satin pothos; Devils ivy,Hanging,Indonisia,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,N/A,Hanging; Tertiary,30,20.0,12,53.6
196,Xanthorrhoea arborea,Liliaceae,Grass tree,Other,Australia,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,N/A,N/A,Potted plant; Primary,35,95.0,12,53.6
197,Schefflera arboricola Trinette,Araliaceae,Yellow Hawaiian elf; Yellow parasol plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Table top; Secondary,30,20.0,12,53.6
198,Schefflera actinophylla Amate,Araliaceae,Umbella plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary,28,82.4,12,53.6
199,Schefflera actinophylla Renegade,Araliaceae,Umbella plant,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary,28,82.4,12,53.6
200,Sansevieria trifasciata var,Liliaceae,Snake plant,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Secondary,35,95.0,10,50.0
201,Spathiphyllum Supreme,Liliaceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary,28,82.4,15,59.0
202,Schefflera arboricola,Araliaceae,Hawaiian elf; Parasol plant,Schefflera,Taiwan,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary,30,20.0,12,53.6
203,Spathiphyllum,Araceae,Peace lily; Emerald Swirl,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0
204,Spathiphyllum Starlight,Araceae,Peace lily,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary,28,82.4,15,59.0
205,Schefflera arboricola,Araliaceae,Hawaiian elf; Parasol plant; Gold Cappela,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary,30,20.0,12,53.6
206,Strelitzia nicolai,Strelitziaceae,White bird of paradise,Foliage plant,South Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Table top; Tertiary,30,20.0,12,53.6
207,Zamioculcas zamifolia,Araceae,Zz plant,Foliage plant,South Africa,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Table top; Secondary,30,20.0,12,53.6
208,Yucca elephantipes,Liliaceae,Spineless yucca; Palm lily,Dracaena,Mexico,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,N/A,Downy mildiou,Potted plant; Secondary,30,20.0,12,53.6
