latin,family,category,origin,climate,ideallight,toleratedlight,watering,insects,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
Hyophorbe verschaffeltii,Arecaceae,Palm,Rodrigue Island,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Potted plant; Primary,35,95.0,10,50.0,Hyophorbe verschaffeltii,nietoksyczna,nietoksyczna
Nolina guatemalensis,Agavaceae,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,Primary; Potted plant,32,89.6,12,53.6,Nolina guatemalensis,toksyczna,nietoksyczna
Medinilla magnifica,Melastomataceae,Flower,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug,Potted plant; Flower,30,20.0,15,59.0,Medinilla magnifica,nietoksyczna,nietoksyczna
Hibiscus rosa sinensis,Malvaceae,Flower,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Aphid; White fly,Flower; Secondary,28,82.4,10,50.0,Hibiscus rosa sinensis,nietoksyczna,nietoksyczna
Nephrolepis exaltata var,Nephrolepidaceae,Fern,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Hanging; Tertiary,28,82.4,10,50.0,Nephrolepis exaltata var,nietoksyczna,nietoksyczna
Howea forsteriana,Arecaceae,Palm,South Pacific,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,,Potted plant; Primary,28,82.4,12,53.6,Howea forsteriana,nietoksyczna,nietoksyczna
Homalomena,Araceae,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Tertiary,28,82.4,10,50.0,Homalomena,toksyczna,toksyczna
Peperomia clusiifolia,Piperaceae,Other,Cultivar,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Ground cover; Tertiary,32,89.6,10,50.0,Peperomia clusiifolia,nietoksyczna,nietoksyczna
Pandorea jasminoides,Bignoniaceae,Flower,Australia,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Secondary,28,82.4,8,46.4,Pandorea jasminoides,lekko toksyczna,może powodować nudności po spożyciu
Neoregelia carolinae var.,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia carolinae var.,nietoksyczna,nietoksyczna
Radermachera sinica,Bignoniaceae,Other,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Tertiary,28,82.4,8,46.4,Radermachera sinica,nietoksyczna,nietoksyczna
Pteris cretica Parkeri,Pteridaceae,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,Table top; Tertiary,28,82.4,12,53.6,Pteris cretica Parkeri,nietoksyczna,nietoksyczna
Polystichum tsus simense,Dryopteridaceae,Fern,Korea,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,,Table top; Tertiary,28,82.4,-5,23.0,Polystichum tsus simense,nietoksyczna,nietoksyczna
Polystichum polyblepharum,Dryopteridaceae,Fern,Japan,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,,Table top; Tertiary,28,82.4,-5,23.0,Polystichum polyblepharum,nietoksyczna,nietoksyczna
Ravenea rivularis,Arecaceae,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,Potted plant; Secondary,30,20.0,8,46.4,Ravenea rivularis,nietoksyczna,nietoksyczna
Polyscias scutellaria,Araliaceae,Aralia,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias scutellaria,toksyczna,toksyczna
Pteris cretica Albo lineata,Pteridaceae,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,Table top; Tertiary,28,82.4,12,53.6,Pteris cretica Albo lineata,nietoksyczna,nietoksyczna
Platycerium bifurcatum,Polypodiaceae,Fern,Australia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,Potted plant; Tertiary,30,20.0,5,41.0,Platycerium bifurcatum,nietoksyczna,nietoksyczna
Philodendron Xanadu,Araceae,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Secondary,28,82.4,18,64.4,Philodendron Xanadu,toksyczna,toksyczna
Polyscias pinnatta,Araliaceae,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias pinnatta,toksyczna,toksyczna
Philodendron Tatei Congo,Araceae,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Secondary,28,82.4,18,64.4,Philodendron Tatei Congo,toksyczna,toksyczna
Sansevieria trifasciata Laurentii,Liliaceae,Sansevieria,South Africa,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,Potted plant; Tertiary,35,95.0,10,50.0,Sansevieria trifasciata Laurentii,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)"
Philodendron pinnatifidum,Araceae,Philodendron,Venezuela,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Tertiary,28,82.4,18,64.4,Philodendron pinnatifidum,toksyczna,toksyczna
Podocarpus gracilior,Podocarpaceae,Foliage plant,Central Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,Potted plant; Primary,30,20.0,10,50.0,Podocarpus gracilior,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)"
Sansevieria trifasciata Hahnii,Liliaceae,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,Table top; Tertiary,35,95.0,10,50.0,Sansevieria trifasciata Hahnii,toksyczna,lekko toksyczna
Sansevieria trifasciata,Liliaceae,Sansevieria,South Africa,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,Potted plant; Primary,35,95.0,10,50.0,Sansevieria trifasciata,toksyczna,lekko toksyczna
Polyscias crispata,Araliaceae,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias crispata,toksyczna,toksyczna
Phoenix roebellinii,Palmae,Palm,Vietnam,Tropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Spider mite; Scale,Potted plant; Primary,28,82.4,8,46.4,Phoenix roebellinii,nietoksyczna,nietoksyczna
Polyscias pinnata Marginata,Araliaceae,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias pinnata Marginata,toksyczna,toksyczna
Polyscias fruticosa Elegans,Araliaceae,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias fruticosa Elegans,toksyczna,toksyczna
Philodendron selloum,Araceae,Philodendron,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Secondary,28,82.4,18,64.4,Philodendron selloum,toksyczna,toksyczna
Pteris ensiformis Evergemiensis,Pteridaceae,Fern,Asia,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,Table top; Tertiary,28,82.4,12,53.6,Pteris ensiformis Evergemiensis,nietoksyczna,nietoksyczna
Rhapis excelsa,Arecaceae,Palm,China,Subtropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,,Potted plant; Secondary,30,20.0,8,46.4,Rhapis excelsa,nietoksyczna,nietoksyczna
Polyscias fruticosa,Araliaceae,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Polyscias fruticosa,toksyczna,toksyczna
Philodendron scandens oxycardium,Araceae,Philodendron,Central America,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Secondary,28,82.4,18,64.4,Philodendron scandens oxycardium,toksyczna,toksyczna
Veitchia merrillii,Arecaceae,Palm,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,Potted plant; Secondary,30,20.0,15,59.0,Veitchia merrillii,nietoksyczna,nietoksyczna
Spathiphyllum Lynise,Araceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Potted plant; Secondary,28,82.4,15,59.0,Spathiphyllum Lynise,toksyczna (szczawiany wapnia),toksyczna
Spathiphyllum Ceres,Araceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Ceres,toksyczna,toksyczna
Vriesea splendens,Bromeliaceae,Bromeliad,Venezuela,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,28,82.4,15,59.0,Vriesea splendens,nietoksyczna,nietoksyczna
Trichilia dregei,Miliaceae,Other,Zimbabwe,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,Potted plant; Secondary,28,82.4,12,53.6,Trichilia dregei,toksyczna,toksyczna
Vriesea Ginger,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Ginger,nietoksyczna,nietoksyczna
Vriesea Charlotte,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Charlotte,nietoksyczna,nietoksyczna
Syngonium podophyllum,Araceae,Hanging,Cultivar,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Hanging; Tertiary,28,82.4,12,53.6,Syngonium podophyllum,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)"
Syagrus schizophylla,Arecaceae,Palm,Brazil,Tropical humid,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,,Potted plant; Primary,30,20.0,12,53.6,Syagrus schizophylla,nietoksyczna,nietoksyczna
Tillandsia cyanea,Bromeliaceae,Bromeliad,Ecuador,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,30,20.0,15,59.0,Tillandsia cyanea,nietoksyczna,nietoksyczna
Vriesea Christiane,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,28,82.4,15,59.0,Vriesea Christiane,nietoksyczna,nietoksyczna
Tillandsia Creation,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Tertiary,30,20.0,15,59.0,Tillandsia Creation,nietoksyczna,nietoksyczna
Xanthosoma lindenii,Araceae,Foliage plant,Colombia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Potted plant; Primary,28,82.4,12,53.6,Xanthosoma lindenii,toksyczna,toksyczna
Schefflera elegantissima,Araliaceae,Aralia,New Calidonia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug; Scale,Potted plant; Secondary,28,82.4,12,53.6,Schefflera elegantissima,"toksyczna (szczawiany, gorzki sok)",toksyczna
Spathiphyllum Sensation,Araceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Potted plant; Primary,28,82.4,15,59.0,Spathiphyllum Sensation,toksyczna,toksyczna
Spathiphyllum Starlight,Liliaceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Starlight,toksyczna,toksyczna
Sedum morganianum,Crasssulaceae,Hanging,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Hanging; Tertiary,35,95.0,8,46.4,Sedum morganianum,nietoksyczna,nietoksyczna
Spathiphyllum Domino,Araceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum Domino,toksyczna,toksyczna
Scindapsus pictus argyraeus,Araceae,Hanging,Indonisia,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,Hanging; Tertiary,30,20.0,12,53.6,Scindapsus pictus argyraeus,toksyczna,toksyczna
Xanthorrhoea arborea,Liliaceae,Other,Australia,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,,Potted plant; Primary,35,95.0,12,53.6,Xanthorrhoea arborea,nietoksyczna (dane ograniczone),nietoksyczna
Schefflera arboricola Trinette,Araliaceae,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Table top; Secondary,30,20.0,12,53.6,Schefflera arboricola Trinette,toksyczna,toksyczna
Schefflera actinophylla Amate,Araliaceae,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Secondary,28,82.4,12,53.6,Schefflera actinophylla Amate,toksyczna,toksyczna
Schefflera actinophylla Renegade,Araliaceae,Schefflera,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Secondary,28,82.4,12,53.6,Schefflera actinophylla Renegade,toksyczna,toksyczna
Sansevieria trifasciata var,Liliaceae,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,Potted plant; Secondary,35,95.0,10,50.0,Sansevieria trifasciata var,toksyczna,lekko toksyczna
Spathiphyllum Supreme,Liliaceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Potted plant; Secondary,28,82.4,15,59.0,Spathiphyllum Supreme,toksyczna,toksyczna
Schefflera arboricola,Araliaceae,Schefflera,Taiwan,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,Potted plant; Secondary,30,20.0,12,53.6,Schefflera arboricola,toksyczna,toksyczna
Spathiphyllum,Araceae,Spathiphyllum,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Table top; Tertiary,28,82.4,15,59.0,Spathiphyllum,toksyczna,toksyczna
Strelitzia nicolai,Strelitziaceae,Foliage plant,South Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Table top; Tertiary,30,20.0,12,53.6,Strelitzia nicolai,toksyczna (łagodne zatrucia),lekko toksyczna (niestrawność)
Zamioculcas zamifolia,Araceae,Foliage plant,South Africa,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,Table top; Secondary,30,20.0,12,53.6,Zamioculcas zamifolia,"toksyczna (kontakt i spożycie – wymioty, biegunka)","toksyczna (szczawiany wapnia – podrażnienia skóry, jamy ustnej)"
Yucca elephantipes,Liliaceae,Dracaena,Mexico,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,,Potted plant; Secondary,30,20.0,12,53.6,Yucca elephantipes,"toksyczna (saponiny – wymioty, biegunka)","lekko toksyczna (bóle brzucha, nudności)"
